country,Albania,Algeria,Argentina,Bahrain,Bangladesh,Belgium,Brazil,Chile,China,Colombia,Cuba,Denmark,Ecuador,Egypt,France,Gabon,Ghana,Greece,Guyana,India,Indonesia,Iran,Iraq,Ireland,Japan,Jordan,Kazakhstan,Kuwait,Lebanon,Libya,Liechtenstein,Malaysia,Maldives,Malta,Mauritania,Mexico,Morocco,Mozambique,Namibia,New Zealand,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Russian Federation,Saudi Arabia,Sierra Leone,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Switzerland,Syrian Arab Republic,Thailand,Tunisia,Türkiye,Uganda,United Arab Emirates,United Kingdom,United States,Venezuela,Viet Nam,Yemen
Poland,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Portugal,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Qatar,0.075,0.95,0.055,0.05,0.95,0.05,0.05,0.065,0.735,0.145,0.95,0.055,0.05,0.95,0.05,0.05,0.05,0.05,0.745,0.05,0.89,0.95,0.95,0.05,0.05,0.95,0.05,0.95,0.9,0.95,0.195,0.95,0.885,0.05,0.95,0.05,0.1,0.05,0.245,0.055,0.06,0.95,0.95,0.05,0.05,0.05,0.05,0.05,1.0,0.05,0.855,0.95,0.05,0.05,0.96,0.725,0.05,0.05,0.05,0.95,0.05,0.95,0.94,0.92,0.05,0.135,0.15,0.95,0.055,0.79
Republic of Korea,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Russian Federation,0.12,0.905,0.1,0.095,0.905,0.095,0.095,0.11,0.66,0.19,0.905,0.1,0.095,0.905,0.095,0.095,0.095,0.095,0.84,0.095,0.865,0.905,0.905,0.095,0.095,0.905,0.095,0.905,0.955,0.905,0.23,0.905,0.84,0.095,0.905,0.095,0.135,0.095,0.29,0.1,0.105,0.905,0.905,0.095,0.095,0.095,0.095,0.095,0.855,0.095,1.0,0.905,0.095,0.095,0.895,0.78,0.095,0.095,0.095,0.905,0.095,0.905,0.895,0.885,0.095,0.19,0.195,0.905,0.1,0.785
Saudi Arabia,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Sierra Leone,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Slovenia,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Somalia,0.035,0.99,0.015,0.01,0.99,0.01,0.01,0.025,0.705,0.105,0.99,0.015,0.01,0.99,0.01,0.01,0.01,0.01,0.755,0.01,0.92,0.99,0.99,0.01,0.01,0.99,0.01,0.99,0.94,0.99,0.155,0.99,0.915,0.01,0.99,0.01,0.06,0.01,0.225,0.015,0.02,0.99,0.99,0.01,0.01,0.01,0.01,0.01,0.96,0.01,0.895,0.99,0.01,0.01,1.0,0.755,0.01,0.01,0.01,0.99,0.01,0.99,0.98,0.95,0.01,0.095,0.11,0.99,0.015,0.82
South Africa,0.27,0.755,0.25,0.245,0.755,0.245,0.245,0.25,0.62,0.32,0.755,0.25,0.245,0.755,0.245,0.245,0.245,0.245,0.7,0.245,0.725,0.755,0.755,0.245,0.245,0.755,0.245,0.755,0.755,0.755,0.39,0.755,0.72,0.245,0.755,0.245,0.295,0.245,0.45,0.25,0.255,0.755,0.755,0.245,0.245,0.245,0.245,0.245,0.725,0.245,0.78,0.755,0.245,0.245,0.755,1.0,0.245,0.245,0.245,0.755,0.245,0.755,0.755,0.745,0.245,0.32,0.315,0.755,0.25,0.745
Spain,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Sri Lanka,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Switzerland,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Syrian Arab Republic,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Thailand,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Tunisia,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Türkiye,0.035,0.99,0.015,0.01,0.99,0.01,0.01,0.025,0.695,0.105,0.99,0.015,0.01,0.99,0.01,0.01,0.01,0.01,0.755,0.01,0.9,0.99,0.99,0.01,0.01,0.99,0.01,0.99,0.94,0.99,0.145,0.99,0.895,0.01,0.99,0.01,0.06,0.01,0.225,0.015,0.02,0.99,0.99,0.01,0.01,0.01,0.01,0.01,0.94,0.01,0.895,0.99,0.01,0.01,0.98,0.755,0.01,0.01,0.01,0.99,0.01,0.99,1.0,0.95,0.01,0.095,0.1,0.99,0.015,0.82
Uganda,0.065,0.96,0.045,0.04,0.96,0.04,0.04,0.055,0.685,0.135,0.96,0.045,0.04,0.96,0.04,0.04,0.04,0.04,0.745,0.04,0.87,0.96,0.96,0.04,0.04,0.96,0.04,0.96,0.93,0.96,0.175,0.96,0.865,0.04,0.96,0.04,0.09,0.04,0.265,0.045,0.05,0.96,0.96,0.04,0.04,0.04,0.04,0.04,0.92,0.04,0.885,0.96,0.04,0.04,0.95,0.745,0.04,0.04,0.04,0.96,0.04,0.96,0.95,1.0,0.04,0.125,0.12,0.96,0.045,0.86
United Arab Emirates,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
United Kingdom,0.89,0.095,0.91,0.905,0.095,0.905,0.905,0.9,0.35,0.83,0.095,0.91,0.905,0.095,0.905,0.905,0.905,0.905,0.33,0.905,0.175,0.095,0.095,0.905,0.905,0.095,0.905,0.095,0.145,0.095,0.81,0.095,0.16,0.905,0.095,0.905,0.865,0.905,0.74,0.9,0.895,0.095,0.095,0.905,0.905,0.905,0.905,0.905,0.135,0.905,0.19,0.095,0.905,0.905,0.095,0.32,0.905,0.905,0.905,0.095,0.905,0.095,0.095,0.125,0.905,1.0,0.915,0.095,0.9,0.245
United States,0.905,0.1,0.905,0.9,0.1,0.9,0.9,0.885,0.355,0.835,0.1,0.905,0.9,0.1,0.9,0.9,0.9,0.9,0.315,0.9,0.18,0.1,0.1,0.9,0.9,0.1,0.9,0.1,0.15,0.1,0.825,0.1,0.175,0.9,0.1,0.9,0.85,0.9,0.735,0.905,0.89,0.1,0.1,0.9,0.9,0.9,0.9,0.9,0.15,0.9,0.195,0.1,0.9,0.9,0.11,0.315,0.9,0.9,0.9,0.1,0.9,0.1,0.1,0.12,0.9,0.915,1.0,0.1,0.895,0.23
Venezuela,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Viet Nam,0.97,0.005,0.99,0.995,0.005,0.995,0.995,0.98,0.31,0.9,0.005,0.99,0.995,0.005,0.995,0.995,0.995,0.995,0.24,0.995,0.095,0.005,0.005,0.995,0.995,0.005,0.995,0.005,0.055,0.005,0.86,0.005,0.1,0.995,0.005,0.995,0.955,0.995,0.78,0.99,0.985,0.005,0.005,0.995,0.995,0.995,0.995,0.995,0.055,0.995,0.1,0.005,0.995,0.995,0.015,0.25,0.995,0.995,0.995,0.005,0.995,0.005,0.015,0.045,0.995,0.9,0.895,0.005,1.0,0.175
Yemen,0.195,0.83,0.175,0.17,0.83,0.17,0.17,0.185,0.645,0.265,0.83,0.175,0.17,0.83,0.17,0.17,0.17,0.17,0.675,0.17,0.78,0.83,0.83,0.17,0.17,0.83,0.17,0.83,0.81,0.83,0.315,0.83,0.795,0.17,0.83,0.17,0.22,0.17,0.385,0.175,0.18,0.83,0.83,0.17,0.17,0.17,0.17,0.17,0.79,0.17,0.785,0.83,0.17,0.17,0.82,0.745,0.17,0.17,0.17,0.83,0.17,0.83,0.82,0.86,0.17,0.245,0.23,0.83,0.175,1.0
